Rank,Theme,Score (0-100),BG,FG,FG/BG Contrast,FG/BG SC-1.4.3/1.4.6 Level,Palette 0,P0 vs BG Contrast,P0 vs BG SC-1.4.3/1.4.6,Palette 1,P1 vs BG Contrast,P1 vs BG SC-1.4.3/1.4.6,Palette 2,P2 vs BG Contrast,P2 vs BG SC-1.4.3/1.4.6,Palette 3,P3 vs BG Contrast,P3 vs BG SC-1.4.3/1.4.6,Palette 4,P4 vs BG Contrast,P4 vs BG SC-1.4.3/1.4.6,Palette 5,P5 vs BG Contrast,P5 vs BG SC-1.4.3/1.4.6,Palette 6,P6 vs BG Contrast,P6 vs BG SC-1.4.3/1.4.6,Palette 7,P7 vs BG Contrast,P7 vs BG SC-1.4.3/1.4.6,Palette 8,P8 vs BG Contrast,P8 vs BG SC-1.4.3/1.4.6,Palette 9,P9 vs BG Contrast,P9 vs BG SC-1.4.3/1.4.6,Palette 10,P10 vs BG Contrast,P10 vs BG SC-1.4.3/1.4.6,Palette 11,P11 vs BG Contrast,P11 vs BG SC-1.4.3/1.4.6,Palette 12,P12 vs BG Contrast,P12 vs BG SC-1.4.3/1.4.6,Palette 13,P13 vs BG Contrast,P13 vs BG SC-1.4.3/1.4.6,Palette 14,P14 vs BG Contrast,P14 vs BG SC-1.4.3/1.4.6,Palette 15,P15 vs BG Contrast,P15 vs BG SC-1.4.3/1.4.6,Palette SC-1.4.3 AA Normal (>=4.5:1),Palette SC-1.4.3 AA Large (>=3:1),Palette SC-1.4.6 AAA Normal (>=7:1),Palette SC-1.4.6 AAA Large (>=4.5:1),Cursor Color,Cursor vs BG Contrast,Cursor vs BG SC-1.4.11 (>=3:1),Cursor Text Color,CursorTxt vs Cursor Contrast,CursorTxt vs Cursor SC-1.4.3/1.4.6,Selection BG,Selection FG,SelFG vs SelBG Contrast,SelFG vs SelBG SC-1.4.3/1.4.6,SelBG vs BG Contrast,SelBG vs BG SC-1.4.11 (>=3:1),Blue Light Index,Color Temperature (K),Palette Min DeltaE,Palette Hue StdDev (deg),APCA FG/BG (Lc),APCA Palette Body (|Lc|>=75),APCA Palette Large (|Lc|>=60)
1,Modus Operandi,88,#FFFFFF,#000000,21.00:1,AAA,#000000,21.00:1,AAA,#A60000,8.01:1,AAA,#006800,7.05:1,AAA,#6F5500,7.06:1,AAA,#0031A9,10.44:1,AAA,#721045,11.20:1,AAA,#005E8B,7.06:1,AAA,#A6A6A6,2.43:1,Fail,#595959,7.00:1,AAA,#972500,8.14:1,AAA,#00663F,7.07:1,AAA,#884900,7.00:1,AAA,#3548CF,7.05:1,AAA,#531AB6,9.58:1,AAA,#005F5F,7.49:1,AAA,#595959,7.00:1,AAA,15/16,15/16,15/16,15/16,#000000,21.00:1,Pass,#FFFFFF,21.00:1,AAA,#BDBDBD,#000000,11.18:1,AAA,1.88:1,Fail,0.333,6503,0.00,124.14,106.0,15/16,15/16
2,Xcode Light hc,85,#FFFFFF,#000000,21.00:1,AAA,#B4D8FD,1.48:1,Fail,#AD1805,7.22:1,AAA,#355D61,7.27:1,AAA,#78492A,7.54:1,AAA,#0058A1,7.22:1,AAA,#9C2191,6.91:1,AA,#703DAA,7.15:1,AAA,#000000,21.00:1,AAA,#8A99A6,2.92:1,Fail,#AD1805,7.22:1,AAA,#174145,11.18:1,AAA,#78492A,7.54:1,AAA,#003F73,10.72:1,AAA,#9C2191,6.91:1,AA,#441EA1,10.79:1,AAA,#000000,21.00:1,AAA,14/16,14/16,12/16,14/16,#000000,21.00:1,Pass,#FFFFFF,21.00:1,AAA,#B4D8FD,#000000,14.18:1,AAA,1.48:1,Fail,0.333,6503,0.00,72.78,106.0,14/16,14/16
3,Ultra Dark,85,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#F07178,7.34:1,AAA,#C3E88D,15.25:1,AAA,#FFCB6B,14.01:1,AAA,#82AAFF,9.14:1,AAA,#C792EA,8.73:1,AAA,#89DDFF,13.85:1,AAA,#CCCCCC,13.08:1,AAA,#404040,2.03:1,Fail,#F6A9AE,11.20:1,AAA,#DBF1BA,17.30:1,AAA,#FFDFA6,16.36:1,AAA,#B4CCFF,13.02:1,AAA,#DDBDF2,12.64:1,AAA,#B8EAFF,16.25:1,AAA,#FFFFFF,21.00:1,AAA,14/16,14/16,14/16,14/16,#FEFEFE,20.82:1,Pass,#000000,20.82:1,AAA,#222222,#CCCCCC,9.91:1,AAA,1.32:1,Fail,0.333,0,12.16,153.19,-107.9,9/16,11/16
4,Vibrant Ink,85,#000000,#FFFFFF,21.00:1,AAA,#878787,5.85:1,AA,#FF6600,7.15:1,AAA,#CCFF04,17.87:1,AAA,#FFCC00,13.89:1,AAA,#44B4CC,8.65:1,AAA,#9933CC,3.70:1,AA-Large,#44B4CC,8.65:1,AAA,#F5F5F5,19.26:1,AAA,#555555,2.82:1,Fail,#FF0000,5.25:1,AA,#00FF00,15.30:1,AAA,#FFFF00,19.56:1,AAA,#0000FF,2.44:1,Fail,#FF00FF,6.70:1,AA,#00FFFF,16.75:1,AAA,#E5E5E5,16.67:1,AAA,13/16,14/16,10/16,13/16,#FFFFFF,21.00:1,Pass,#000000,21.00:1,AAA,#B5D5FF,#000000,13.93:1,AAA,13.93:1,Pass,0.333,0,0.00,88.40,-107.9,7/16,7/16
5,Modus Vivendi,84,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#FF5F59,7.03:1,AAA,#44BC44,8.52:1,AAA,#D0BC00,10.88:1,AAA,#2FAFFF,8.70:1,AAA,#FEACD0,12.03:1,AAA,#00D3D0,11.23:1,AAA,#A6A6A6,8.63:1,AAA,#595959,3.00:1,Fail,#FF7F9F,8.79:1,AAA,#00C06F,8.77:1,AAA,#FEC43F,13.18:1,AAA,#79A8FF,8.86:1,AAA,#B6A0FF,9.46:1,AAA,#6AE4B9,13.41:1,AAA,#FFFFFF,21.00:1,AAA,14/16,14/16,14/16,14/16,#FFFFFF,21.00:1,Pass,#000000,21.00:1,AAA,#5A5A5A,#FFFFFF,6.90:1,AA,3.04:1,Pass,0.333,0,15.18,108.26,-107.9,3/16,6/16
6,iTerm2 Tango Dark,84,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#D81E00,4.11:1,AA-Large,#5EA702,7.00:1,AAA,#CFAE00,9.71:1,AAA,#427AB3,4.67:1,AA,#89658E,4.32:1,AA-Large,#00A7AA,7.11:1,AAA,#DBDED8,15.45:1,AAA,#686A66,3.84:1,AA-Large,#F54235,5.71:1,AA,#99E343,13.42:1,AAA,#FDEB61,17.23:1,AAA,#84B0D8,9.18:1,AAA,#BC94B7,8.06:1,AAA,#37E6E8,13.65:1,AAA,#F1F1F0,18.58:1,AAA,12/16,15/16,10/16,12/16,#FFFFFF,21.00:1,Pass,#000000,21.00:1,AAA,#C1DEFF,#000000,15.16:1,AAA,15.16:1,Pass,0.333,0,7.58,97.90,-107.9,5/16,5/16
7,GitHub Dark High Contrast,82,#0A0C10,#F0F3F6,17.57:1,AAA,#7A828E,5.04:1,AA,#FF9492,9.23:1,AAA,#26CD4D,9.25:1,AAA,#F0B72F,10.74:1,AAA,#71B7FF,9.24:1,AAA,#CB9EFF,9.20:1,AAA,#39C5CF,9.38:1,AAA,#D9DEE3,14.45:1,AAA,#9EA7B3,8.05:1,AAA,#FFB1AF,11.33:1,AAA,#4AE168,11.43:1,AAA,#F7C843,12.39:1,AAA,#91CBFF,11.36:1,AAA,#DBB7FF,11.40:1,AAA,#56D4DD,11.05:1,AAA,#FFFFFF,19.57:1,AAA,16/16,16/16,15/16,16/16,#71B7FF,9.24:1,Pass,#B1F7FF,1.78:1,Fail,#F0F3F6,#0A0C10,17.57:1,AAA,17.57:1,Pass,0.436,9997,5.70,101.17,-99.5,3/16,14/16
8,iTerm2 Default,81,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#C91B00,3.64:1,AA-Large,#00C200,8.72:1,AAA,#C7C400,11.32:1,AAA,#2225C4,2.13:1,Fail,#CA30C7,4.76:1,AA,#00C5C7,9.81:1,AAA,#FFFFFF,21.00:1,AAA,#686868,3.77:1,AA-Large,#FF6E67,7.68:1,AAA,#5FFA68,15.36:1,AAA,#FFFC67,19.37:1,AAA,#6871FF,5.39:1,AA,#FF77FF,9.33:1,AAA,#60FDFF,16.99:1,AAA,#FFFFFF,21.00:1,AAA,12/16,14/16,10/16,12/16,#E5E5E5,16.67:1,Pass,#000000,16.67:1,AAA,#C1DEFF,#000000,15.16:1,AAA,15.16:1,Pass,0.333,0,0.00,110.16,-107.9,5/16,7/16
9,Builtin Tango Dark,79,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#CC0000,3.57:1,AA-Large,#4E9A06,5.95:1,AA,#C4A000,8.38:1,AAA,#3465A4,3.54:1,AA-Large,#75507B,3.19:1,AA-Large,#06989A,5.97:1,AA,#D3D7CF,14.39:1,AAA,#555753,2.87:1,Fail,#EF2929,5.02:1,AA,#8AE234,13.01:1,AAA,#FCE94F,16.91:1,AAA,#729FCF,7.58:1,AAA,#AD7FA8,6.38:1,AA,#34E2E2,13.12:1,AAA,#EEEEEC,18.08:1,AAA,11/16,14/16,7/16,11/16,#FFFFFF,21.00:1,Pass,#000000,21.00:1,AAA,#B5D5FF,#000000,13.93:1,AAA,13.93:1,Pass,0.333,0,9.25,98.73,-107.9,5/16,5/16
10,Adventure,78,#040404,#FEFFFF,20.47:1,AAA,#040404,1.00:1,Fail,#D84A33,4.83:1,AA,#5DA602,6.76:1,AA,#EEBB6E,11.68:1,AAA,#417AB3,4.55:1,AA,#E5C499,12.39:1,AAA,#BDCFE5,12.91:1,AAA,#DBDED8,15.09:1,AAA,#685656,2.98:1,Fail,#D76B42,5.93:1,AA,#99B52C,8.79:1,AAA,#FFB670,11.89:1,AAA,#97D7EF,12.97:1,AAA,#AA7900,5.32:1,AA,#BDCFE5,12.91:1,AAA,#E4D5C7,14.29:1,AAA,14/16,14/16,9/16,14/16,#FEFFFF,20.47:1,Pass,#000000,20.96:1,AAA,#606060,#FFFFFF,6.29:1,AA,3.26:1,Pass,0.333,6503,0.00,82.82,-107.7,5/16,8/16
